iter	Passed	Remaining
399	59619	44714
400	59765	44563
401	59932	44427
402	60086	44281
403	60227	44126
404	60386	43985
405	60541	43840
406	60708	43704
407	60865	43560
408	61033	43424
409	61206	43292
410	61355	43142
411	61516	43002
412	61672	42857
413	61825	42710
414	61998	42577
415	62160	42436
416	62324	42296
417	62482	42153
418	62632	42004
419	62787	41858
420	62925	41701
421	63087	41560
422	63229	41405
423	63376	41254
424	63546	41118
425	63700	40971
426	63869	40834
427	64012	40680
428	64165	40533
429	64338	40398
430	64495	40253
431	64647	40105
432	64794	39953
433	64939	39801
434	65094	39655
435	65252	39510
436	65409	39365
437	65558	39215
438	65697	39059
439	65830	38900
440	65981	38751
441	66138	38605
442	66287	38455
443	66458	38318
444	66633	38182
445	66784	38034
446	66931	37882
447	67115	37752
448	67254	37596
449	67418	37454
450	67565	37303
451	67703	37147
452	67848	36994
453	67995	36843
454	68140	36690
455	68299	36546
456	68459	36402
457	68637	36267
458	68789	36118
459	68932	35964
460	69140	35845
461	69290	35695
462	69439	35544
463	69619	35409
464	69781	35265
465	69929	35114
466	70085	34967
467	70250	34825
468	70401	34675
469	70548	34523
470	70693	34370
471	70874	34236
472	71034	34090
473	71191	33943
474	71388	33815
475	71545	33668
476	71695	33518
477	71851	33370
478	71994	33216
479	72134	33061
480	72308	32922
481	72462	32773
482	72611	32622
483	72766	32474
484	72916	32324
485	73067	32173
486	73209	32019
487	73365	31871
488	73516	31721
489	73664	31570
490	73821	31422
491	73971	31272
492	74124	31123
493	74317	30990
494	74481	30845
495	74636	30697
496	74787	30547
497	74943	30398
498	75150	30271
499	75305	30122
500	75441	29965
501	75601	29818
502	75778	29678
503	75933	29529
504	76080	29377
505	76229	29226
506	76381	29076
507	76531	28925
508	76702	28782
509	76865	28636
510	77028	28490
511	77182	28340
512	77340	28192
513	77483	28038
514	77648	27893
515	77810	27746
516	77964	27596
517	78119	27447
518	78276	27298
519	78432	27149
520	78573	26995
521	78733	26847
522	78882	26696
523	79064	26555
524	79223	26407
525	79389	26261
526	79566	26119
527	79738	25975
528	79927	25836
529	80085	25687
530	80245	25539
531	80384	25384
532	80567	25243
533	80721	25093
534	80878	24943
535	81032	24793
536	81185	24642
537	81348	24495
538	81496	24343
539	81632	24187
540	81794	24039
541	81948	23888
542	82109	23740
543	82271	23592
544	82447	23448
545	82610	23300
546	82766	23150
547	82939	23005
548	83085	22852
549	83235	22700
550	83385	22548
551	83541	22398
552	83703	22250
553	83870	22103
554	84046	21957
555	84199	21807
556	84352	21655
557	84511	21506
558	84667	21356
559	84806	21201
560	84964	21051
561	85123	20902
562	85285	20753
563	85419	20597
564	85554	20442
565	85707	20291
566	85877	20143
567	86036	19994
568	86251	19857
569	86406	19706
570	86559	19555
571	86722	19406
572	86861	19252
573	87032	19104
574	87178	18951
575	87365	18807
576	87519	18656
577	87681	18507
578	87824	18353
579	87976	18202
580	88154	18055
581	88326	17908
582	88512	17763
583	88677	17614
584	88862	17468
585	89010	17316
586	89148	17161
587	89300	17009
588	89457	16858
589	89655	16715
590	89843	16570
591	89995	16418
592	90151	16266
593	90303	16114
594	90489	15968
595	90637	15816
596	90799	15665
597	90977	15517
598	91156	15370
599	91310	15218
600	91459	15065
601	91614	14913
602	91773	14762
603	91933	14612
604	92102	14462
605	92251	14309
606	92398	14156
607	92557	14005
608	92708	13852
609	92831	13696
610	92993	13545
611	93161	13395
612	93324	13245
613	93521	13099
614	93707	12951
615	93861	12799
616	94008	12646
617	94161	12493
618	94306	12340
619	94455	12187
620	94606	12035
621	94773	11884
622	94925	11732
623	95067	11578
624	95241	11428
625	95381	11275
626	95541	11123
627	95703	10972
628	95864	10820
629	96020	10668
630	96168	10516
631	96305	10362
632	96486	10212
633	96625	10058
634	96784	9907
635	96955	9756
636	97123	9605
637	97295	9455
638	97444	9302
639	97592	9149
640	97738	8996
641	97884	8843
642	98017	8688
643	98177	8537
644	98332	8384
645	98477	8231
646	98628	8079
647	98755	7924
648	98899	7771
649	99054	7619
650	99240	7469
651	99397	7317
652	99567	7166
653	99704	7012
654	99850	6859
655	99973	6705
656	100122	6552
657	100279	6400
658	100424	6247
659	100579	6095
660	100732	5943
661	100883	5790
662	101023	5637
663	101173	5485
664	101350	5334
665	101509	5182
666	101663	5029
667	101823	4877
668	101990	4726
669	102150	4573
670	102319	4422
671	102559	4273
672	102694	4119
673	102833	3966
674	103025	3815
675	103211	3664
676	103373	3511
677	103552	3360
678	103709	3207
679	103850	3054
680	104003	2901
681	104169	2749
682	104305	2596
683	104453	2443
684	104615	2290
685	104766	2138
686	104937	1985
687	105092	1833
688	105238	1680
689	105380	1527
690	105540	1374
691	105730	1222
692	105881	1069
693	106029	916
694	106182	763
695	106327	611
696	106462	458
697	106614	305
698	106782	152
699	106934	0
