iter	RMSE
213	0.9501856238
214	0.9500114874
215	0.9496854146
216	0.9493824204
217	0.9492981441
218	0.9491343596
219	0.9489019971
220	0.9485359311
221	0.9484072303
222	0.948094574
223	0.9478984072
224	0.9477435609
225	0.9475038729
226	0.9473192121
227	0.9470579648
228	0.9468546888
229	0.9466886191
230	0.9464118686
231	0.9462381292
232	0.9460856299
233	0.9458958223
234	0.9458056051
235	0.9455400679
236	0.9453196691
237	0.9450390342
238	0.9448499465
239	0.94475604
240	0.9444479658
241	0.9443048632
242	0.9442045127
243	0.9440466877
244	0.9438002816
245	0.9434663178
246	0.9432833568
247	0.9432233804
248	0.9431212129
249	0.9429012684
250	0.9428002618
251	0.9427274934
252	0.9425540709
253	0.9423866087
254	0.9422004097
255	0.9420879843
256	0.9417860688
257	0.9417245033
258	0.9415991812
259	0.9413316709
260	0.9412071554
261	0.9410872489
262	0.9409705961
263	0.9409094397
264	0.9407212872
265	0.9404670072
266	0.9403291417
267	0.9401413819
268	0.9400358742
269	0.9397798066
270	0.9395941248
271	0.9393870486
272	0.9392256986
273	0.939070427
274	0.9388338762
275	0.9387276276
276	0.9385804409
277	0.93836816
278	0.9382497856
279	0.9381391089
280	0.9380120153
281	0.9379114738
282	0.937823015
283	0.9375730482
284	0.9374440587
285	0.9373753583
286	0.9372955203
287	0.9372167036
288	0.937133482
289	0.9369911083
290	0.9369065305
291	0.9367928388
292	0.9367133669
293	0.9365564227
294	0.9364029625
295	0.9363380138
296	0.9362456609
297	0.9360993256
298	0.9359534324
299	0.9358091322
300	0.9356122563
301	0.9355209288
302	0.9353929652
303	0.935131155
304	0.934988488
305	0.9348861094
306	0.934703341
307	0.9345417095
308	0.934446096
309	0.9343405469
310	0.9341331299
311	0.9339382024
312	0.9337099566
313	0.9335192768
314	0.9332226798
315	0.9330366586
316	0.9327760123
317	0.9325966241
318	0.9324970741
319	0.9323007264
320	0.9322394026
321	0.9321328778
322	0.9319315376
323	0.9317734216
324	0.9315493629
325	0.9313689746
326	0.9311061961
327	0.9309897059
328	0.9308243818
329	0.9307186031
330	0.930575085
331	0.9304485198
332	0.9303237997
333	0.9302450881
334	0.9300281335
335	0.9299299769
336	0.9297381077
337	0.9296546819
338	0.92950687
339	0.9293679002
340	0.9292201538
341	0.9290944107
342	0.9289240521
343	0.9288264191
344	0.9286565057
345	0.9285526401
346	0.928359765
347	0.9282353709
348	0.928058789
349	0.9279630376
350	0.9278911922
351	0.9277015785
352	0.9275666446
353	0.9273924432
354	0.9272904923
355	0.9271398261
356	0.9270478302
357	0.9269157016
358	0.9267669981
359	0.9266594786
360	0.9265360664
361	0.9264648466
362	0.926397314
363	0.9263145014
364	0.9262592629
365	0.9261466288
366	0.9259821948
367	0.9259037119
368	0.9257147115
369	0.9255697576
370	0.9254787565
371	0.9253475126
372	0.9251944287
373	0.9250660291
374	0.9249435757
375	0.9248863887
376	0.9246855941
377	0.9245671999
378	0.9243729466
379	0.9241723492
380	0.9240265452
381	0.923954939
382	0.9238597096
383	0.9237763672
384	0.9237256143
385	0.9236550005
386	0.9234877614
387	0.9234085919
388	0.923285662
389	0.9231067967
390	0.9230395429
391	0.9227910881
392	0.9226578154
393	0.9225116418
394	0.9223284635
395	0.9222559532
396	0.9220944876
397	0.9219934337
398	0.9219174998
399	0.9217133036
400	0.9216303278
401	0.9214436156
402	0.921295905
403	0.9211527902
404	0.9210731072
405	0.9209796592
406	0.92078389
407	0.9206818697
408	0.9206134639
409	0.9205743466
410	0.9204463678
411	0.9203852222
412	0.9202600148
413	0.920141765
414	0.9200749156
415	0.9200015471
416	0.9198325165
417	0.9197523085
418	0.919650153
419	0.9195763285
420	0.9194895727
421	0.9192516318
422	0.9191118084
423	0.9188835697
424	0.918778104
425	0.9187175976
426	0.9185570158
427	0.91842622
428	0.9183923116
429	0.9182277142
430	0.9180972025
431	0.9180096063
432	0.9179457229
433	0.917843223
434	0.9177726291
435	0.9176002313
436	0.9175194454
437	0.9174225552
